startup_name,industry,original_ask_amount,total_deal_amount,number_of_sharks_in_deal,total_deal_equity,number_of_presenters,funded_flag
TheSimplySalad,Food and Beverage,30.0,30.0,2.0,10.0,2,True
AyuSynk,Medical/Health,100.0,50.0,1.0,3.5,3,True
AtypicalAdvantage,Technology/Software,30.0,30.0,2.0,3.0,1,True
HouseOfChikankari,Beauty/Fashion,75.0,75.0,2.0,3.75,2,True
MagicOfMemories,Beauty/Fashion,25.0,,,,1,False
Paradyes,Beauty/Fashion,65.0,65.0,2.0,2.0,2,True
Nestroots,Lifestyle/Home,50.0,50.0,1.0,2.0,1,True
Zillionaire,Beauty/Fashion,50.0,100.0,1.0,10.0,2,True
Credmate,Technology/Software,50.0,,,,2,False
Freebowler,Fitness/Sports/Outdoors,75.0,25.0,1.0,7.5,2,True
ABCSports&Fitness,Fitness/Sports/Outdoors,40.0,40.0,1.0,10.0,2,True
Primebook,Technology/Software,75.0,75.0,2.0,3.0,4,True
DailyDump,Manufacturing,80.0,30.0,1.0,4.0,2,True
GharSoaps,Beauty/Fashion,60.0,60.0,1.0,4.0,2,True
Janitri,Medical/Health,100.0,100.0,1.0,2.5,1,True
JaipurWatchCompany,Manufacturing,50.0,,,,1,False
InsideFPV,Manufacturing,75.0,75.0,4.0,15.0,3,True
Angrakhaa,Beauty/Fashion,40.0,40.0,1.0,20.0,2,True
Diabexy,Food and Beverage,150.0,,,,2,False
Kyari,Manufacturing,51.0,51.0,2.0,6.0,2,True
MoppFoods,Food and Beverage,75.0,75.0,1.0,5.0,2,True
Econiture,Green/CleanTech,50.0,,,,4,False
Dobiee,Food and Beverage,72.0,72.0,1.0,6.5,2,True
FastBeetle,Business Services,90.0,90.0,2.0,7.5,2,True
Pflow,Medical/Health,60.0,60.0,2.0,6.0,2,True
VSMani,Food and Beverage,60.0,19.0,1.0,1.0,3,True
Sepal,Manufacturing,50.0,50.0,1.0,2.0,2,True
Solinas,Business Services,90.0,90.0,2.0,3.0,4,True
